,date, pm25, pm10, o3, no2, so2, co,AQI,AQI_bucket
238,2019-11-21,236.0,110.10087719298245,33.0,38.0,18.0,11.476315789473684,389.25581395348837,Very Poor
239,2019-11-22,266.0,110.10087719298245,32.0,36.0,29.0,11.476315789473684,499.38124999999985,Severe
240,2019-11-23,286.0,110.10087719298245,26.0,21.0,8.0,11.476315789473684,499.7249999999999,Severe
241,2019-11-24,314.0,110.10087719298245,20.0,30.0,14.0,11.476315789473684,499.8453125,Severe
242,2019-11-25,314.0,110.10087719298245,29.0,37.0,8.0,11.476315789473684,499.8453125,Severe
243,2019-11-26,284.0,110.10087719298245,29.0,29.0,6.0,11.476315789473684,499.7088235294117,Severe
244,2019-11-27,297.0,110.10087719298245,28.0,21.0,7.0,11.476315789473684,499.7893617021276,Severe
245,2019-11-28,253.0,110.10087719298245,18.0,20.0,4.0,11.476315789473684,496.70000000000016,Severe
246,2019-11-29,128.0,110.10087719298245,19.0,22.0,6.0,11.476315789473684,306.37209302325584,Very Poor
247,2019-11-30,161.0,110.10087719298245,27.0,19.0,4.0,11.476315789473684,331.69767441860466,Very Poor
248,2019-12-01,176.0,110.10087719298245,26.0,24.0,5.0,11.476315789473684,343.2093023255814,Very Poor
249,2019-12-02,187.0,110.10087719298245,30.0,29.0,7.0,11.476315789473684,351.6511627906977,Very Poor
250,2019-12-03,222.0,110.10087719298245,31.0,38.0,34.0,11.476315789473684,378.51162790697674,Very Poor
251,2019-12-04,245.0,110.10087719298245,33.0,33.0,7.0,11.476315789473684,396.16279069767444,Very Poor
252,2019-12-05,256.0,110.10087719298245,29.0,32.0,7.0,11.476315789473684,498.3499999999996,Severe
253,2019-12-06,260.0,110.10087719298245,28.0,24.0,5.0,11.476315789473684,499.00999999999976,Severe
254,2019-12-07,233.0,110.10087719298245,22.73508137432188,27.716446124763706,8.597826086956522,11.476315789473684,386.95348837209303,Very Poor
255,2019-12-08,148.57956600361663,110.10087719298245,27.0,35.0,5.0,11.476315789473684,322.165713444636,Very Poor
